treatment,threshold,round,player,decision,score,timeup,time,room,date,num_players,group,choice
upwards,0.3333333333333333,23.0,517686775656690,0.0,-6.0,0.0,1263.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,23.0,327999402308732,0.0,-7.0,0.0,3502.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,23.0,199607391338980,1.0,-7.0,0.0,2753.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,24.0,170568555017336,0.0,-2.0,0.0,1739.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,24.0,459561341680218,1.0,-11.0,0.0,1432.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,24.0,281376263239737,0.0,-5.0,0.0,2231.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,24.0,745921659422642,1.0,-8.0,0.0,2295.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,24.0,699740974271588,1.0,-9.0,0.0,9366.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,24.0,642065798157831,0.0,-10.0,0.0,3504.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,24.0,517686775656690,0.0,-6.0,0.0,1486.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,24.0,327999402308732,0.0,-7.0,0.0,3645.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,24.0,199607391338980,0.0,-7.0,0.0,1773.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,25.0,170568555017336,0.0,-2.0,0.0,2353.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,25.0,459561341680218,1.0,-12.0,0.0,1262.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,25.0,281376263239737,1.0,-6.0,0.0,3896.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,25.0,745921659422642,0.0,-8.0,0.0,5771.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,25.0,699740974271588,1.0,-10.0,0.0,1076.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,25.0,642065798157831,1.0,-11.0,0.0,9819.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,25.0,517686775656690,0.0,-6.0,0.0,1399.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,25.0,327999402308732,0.0,-7.0,0.0,2863.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,25.0,199607391338980,1.0,-8.0,0.0,1329.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,26.0,170568555017336,0.0,-2.0,0.0,2734.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,26.0,459561341680218,1.0,-13.0,0.0,854.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,26.0,281376263239737,0.0,-6.0,0.0,11485.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,26.0,745921659422642,1.0,-9.0,0.0,3469.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,26.0,699740974271588,1.0,-11.0,0.0,13231.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,26.0,642065798157831,1.0,-12.0,0.0,6371.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,26.0,517686775656690,0.0,-6.0,0.0,1472.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,26.0,327999402308732,0.0,-7.0,0.0,17474.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,26.0,199607391338980,1.0,-9.0,0.0,2215.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,27.0,170568555017336,0.0,-2.0,0.0,1696.0,38,12-13-2023,9,38,0.0
upwards,0.3333333333333333,27.0,459561341680218,1.0,-14.0,0.0,746.0,38,12-13-2023,9,38,1.0
upwards,0.3333333333333333,27.0,281376263239737,0.0,-6.0,0.0,10487.0,38,12-13-2023,9,38,0.0
